city,locality,bhk,bathrooms,area_sqft,price_inr
Thane,Srushti Siddhi Mangal Murti Complex,1,1.0,500.0,4200000.0
Thane,Dosti Vihar,2,2.0,473.0,9800000.0
Thane,Sunrise by Kalpataru,2,2.0,779.0,14000000.0
Thane,Unknown,1,1.0,530.0,2500000.0
Thane,TenX Habitat Raymond Realty,2,2.0,635.0,16000000.0
Thane,Virat Aangan,1,1.0,680.0,4500000.0
Thane,Unknown,1,1.0,550.0,1650000.0
Thane,Unknown,1,1.0,575.0,6000000.0
Thane,Unknown,1,1.0,600.0,6000000.0
Thane,Pride Palms,3,3.0,900.0,16000000.0
Thane,Cosmos Lounge,3,2.0,950.0,14000000.0
Thane,Regency Heights,2,2.0,1165.0,13600000.000000002
Thane,Regency Heights,2,2.0,844.0,13500000.0
Thane,Unknown,4,4.0,1820.0,42500000.0
Thane,Unknown,1,1.0,650.0,7500000.0
Thane,Puraniks Tokyo Bay,2,2.0,675.0,9000000.0
Thane,Green Woods,1,1.0,647.0,3700000.0
Thane,Unknown,1,1.0,540.0,3500000.0
Thane,Everest World Lavender,2,2.0,600.0,9000000.0
Thane,Unknown,1,1.0,520.0,3500000.0
Thane,Pride Residency,1,1.0,430.0,5400000.0
Thane,Ashar Edge,2,2.0,665.0,16500000.0
Thane,Lodha Amara,2,2.0,557.0,8500000.0
Thane,Tierra CoOp HSG Soc Ltd,3,2.0,870.0,12800000.0
Thane,Unknown,1,1.0,580.0,4200000.0
Thane,Xrbia Warai,1,1.0,288.0,2400000.0
Thane,Unknown,1,1.0,630.0,6100000.0
Thane,Palacia Kingston Phase 2,3,3.0,925.0,17500000.0
Thane,Balaji Annex,1,1.0,434.0,4700000.0
Thane,Hiranandani Meadows,4,3.0,1350.0,32000000.0
Thane,Auralis The Twins,2,2.0,850.0,19800000.0
Thane,Orovia Phase 1,1,2.0,467.0,8300000.0
Thane,Rustomjee Athena,3,3.0,849.0,14200000.0
Thane,JVM Shubham,1,2.0,440.0,5400000.0
